S乱Lv,Lv,曲名,難易度,BPM,メダル,ハード,BAD数,更新日時
13,48,謀叛トランス,EX,150,,,,
,,,,,,,,
12,48,Idola,EX,201,,,,
12,48,カラフルトイズ・ワンダーランド,EX,180,,,,
12,48,スパイラルステアーズ,EX,163,,,,
12,48,ハードルネッサンス2,EX,185,,,,
12,48,ヒップロック3,EX,105-180,,,,
12,48,ブラックアルバム,EX,155,,,,
12,48,プログレッシブ(Concertino In Blue),EX,103-155,,,,
12,48,ベースボールヒロイン,EX,180,,,,
12,48,ラメント,EX,95-210,,,,
12,48,火風陸空,EX,180,,,,
12,47,カイジュウ,EX,140,,,,
12,47,シューゲイザー,EX,196,,,,
12,47,メイドメタル,EX,188,,,,
,,,,,,,,
11,48,シンフォニックメタルop.2,EX,170-180,,,,
11,48,ハードPf+,EX,266,,,,
11,48,ピアノコンテンポラリー,EX,148,,,,
11,48,プログレタンゴ,EX,138-170,,,,
11,48,忍者メタル ポプコネ,EX,210,,,,
11,48,流離,EX,168,,,,
11,48,海神,EX,159,,,,
11,48,混ぜるな危険,EX,178,,,,
11,48,現代のヘイヨエ祭り,EX,155,,,,
11,48,賢聖シリウスの采配,EX,270?,,,,
11,47,クラシック7,EX,190,,,,
11,47,ケンカドラム,EX,320,,,,
11,47,チテイタンケン,EX,37-180,,,,
11,47,ヴァリアントレイヴ,EX,180,,,,
11,47,忍者メタル,EX,164,,,,
11,46,ネガメロック,EX,192,,,,
11,46,萌えおこし電波ソング,EX,185,,,,
,,,,,,,,
10,49,クラシック11,EX,40-320,,,,
10,49,クラシック9,EX,25-680,,,,
10,49,スクリーン,EX,379,,,,
10,48,エピックプログレ,EX,280,,,,
10,48,グランヂデス,EX,140-175,,,,
10,48,グロッソラリア,EX,110-135,,,,
10,48,サイバーガガク,EX,145-290,,,,
10,48,ドリームチャンプル,EX,120-140,,,,
10,48,ハードPf,EX,138,,,,
10,48,プログレッシブ(The Least 100sec),EX,200-263,,,,
10,48,亜空間ジャズ,EX,170,,,,
10,47,Caradbolg,EX,110-196,,,,
10,47,Cleopatrysm,EX,190,,,,
10,47,Russian Caravan Rhapsody,EX,158,,,,
10,47,たまごの物理科学的 及び調理特性に関しての調査、そしてその考察,EX,107-160,,,,
10,47,エレクトロバロック,EX,166,,,,
10,47,コアロック,EX,182,,,,
10,47,スイーツプログレッシヴ,EX,205,,,,
10,47,ハッピー,EX,182-186,,,,
10,47,プログレッシブ(V),EX,150,,,,
10,47,彼女は快刀乱麻,EX,169,,,,
10,47,猫侍の逆襲,EX,152,,,,
10,47,龍と少女とデコヒーレンス,EX,165,,,,
10,46,コンテンポラリーネイション2,EX,111,,,,
10,46,ソーサリープログレッシヴ,EX,158,,,,
,,,,,,,,
9,48,PSGブレイクコア,EX,200,,,,
9,48,ブロークンサンバブレイク,EX,153,,,,
9,48,金縛りの逢を,EX,200,,,,
9,47,Peragro,EX,190,,,,
9,47,Reconsideration,EX,150,,,,
9,47,ませまてぃっく?ま＋ま＝まじっく！,EX,192,,,,
9,47,ウィザウチュナイ-ゼクス-,EX,173,,,,
9,47,エレジィ2,EX,161,,,,
9,47,サイバーウエスタン,EX,148,,,,
9,47,トランスコア,EX,173,,,,
9,47,ハイブリープ,EX,200,,,,
9,47,バンブーソード・ガール,EX,208,,,,
9,47,ピアノテック,EX,175,,,,
9,47,僕ガ壊レル前ニ,EX,140,,,,
9,47,呪エモ?,EX,95-190,,,,
9,47,土偶テクノ,EX,160,,,,
9,47,幻想音樂,EX,120,,,,
9,47,漆黒のスペシャルプリンセスサンデー,EX,200,,,,
9,46,ビッグビート,EX,178,,,,
9,46,フォルクローレ,EX,125,,,,
,,,,,,,,
8,48,IDM,EX,90-180,,,,
8,48,サイバーフラメンコ,EX,140-280,,,,
8,48,スターリートランス,EX,155,,,,
8,48,ナイトメアカルーセル,EX,80-150,,,,
8,48,戦乱絵巻,EX,120-210,,,,
8,47,NINE PIECE,EX,140-168,,,,
8,47,Versa,EX,90-180,,,,
8,47,おしゃまスウィング,EX,125,,,,
8,47,ちんどんジャズ,EX,213-230,,,,
8,47,エキサイティング！！も・ちゃ・ちゃ☆,EX,187,,,,
8,47,コンテンポラリーネイション,EX,140,,,,
8,47,ハイパードラマティック,EX,160,,,,
8,47,ハッピーハードコア(Im so Happy),EX,181,,,,
8,47,フォレストスノウ2,EX,128,,,,
8,47,ムーニャポヨポヨスッポコニャーゴ,EX,180,,,,
8,47,ヴェルヴェットバレットヒット,EX,177,,,,
8,47,和風プログレッシブ,EX,180,,,,
8,46,アカシックハードコア,EX,188,,,,
8,46,エッジ,EX,181,,,,
8,46,ホッテストパーティー,EX,145,,,,
8,46,ボールヅアウトロック,EX,181,,,,
8,46,理系ポップ,EX,128,,,,
8,44,ガールズオルタナティブコア,EX,145-175,,,,
8,41,カリビアンビーツ,EX,100,,,,
8,41,ネイチャー,EX,91,,,,
,,,,,,,,
7,48,エッセンシャリー,EX,164,,,,
7,48,ヒップロック5,EX,213,,,,
7,48,モダンパンク,EX,148,,,,
7,47,532nm,EX,177,,,,
7,47,ice crystals,EX,185,,,,
7,47,サーカス,EX,140-186,,,,
7,47,ゾディアックオラクル1,EX,180,,,,
7,47,ダークオペラREMIX,EX,170,,,,
7,47,ドラムンコアダスト,EX,181,,,,
7,47,ポップミュージック,EX,220,,,,
7,47,下克上ドラムンベース,EX,175,,,,
7,47,中華ロック,EX,180,,,,
7,47,姫コア,EX,95-190,,,,
7,47,昭和ノワール,EX,225,,,,
7,47,演説,EX,106-126,,,,
7,46,8000000,EX,200,,,,
7,46,わんわんコア,EX,192,,,,
7,46,コンテンポラリーネイション5,EX,138,,,,
7,46,ラボテクノ,EX,190,,,,
7,46,超恋愛☆エクストリーム・ガール,EX,196,,,,
7,45,オリエンタルフォークロア,EX,132,,,,
7,45,トザン,EX,175,,,,
7,45,ビートニク,EX,77-214,,,,
7,43,ラブリートランスポップ,EX,160,,,,
,,,,,,,,
6,48,カグランジ,EX,127,,,,
6,48,スピードコア,EX,270,,,,
6,48,デスレゲエ,EX,102-205,,,,
6,48,ビーストメタル,EX,249,,,,
6,47,A.I.ダークネス,EX,60-190,,,,
6,47,El venenciador,EX,156-162,,,,
6,47,JAM,EX,240,,,,
6,47,コルトーン,EX,168-182,,,,
6,47,サイバーメタル,EX,250,,,,
6,47,デパファンク,EX,130,,,,
6,47,ナニワヒーロー,EX,152,,,,
6,47,ハッピーハードコア(SweetSweetMagic),EX,180,,,,
6,47,ヒルビリー,EX,272,,,,
6,47,ビビッド,EX,166-188,,,,
6,47,ピラミッド,EX,70-270,,,,
6,47,僕らの旅はどこまでも,EX,110-220,,,,
6,47,大宇宙の法典,EX,209,,,,
6,47,近代絶頂音楽,EX,88-113,,,,
6,46,ACCELERATION,EX,175,,,,
6,46,Hatcha Metcha Party,EX,200,,,,
6,46,√太陽系◎ドーナツ化計画∞∀∞,EX,190,,,,
6,46,アニマルミニマル,EX,160,,,,
6,46,カラーフュージョン,EX,150,,,,
6,46,コスモロジカル,EX,162,,,,
6,46,サイコビリー,EX,220,,,,
6,46,サケビノミドリ,EX,130,,,,
6,46,スパイREMIX,EX,90-180,,,,
6,46,スペースポップ,EX,180,,,,
6,46,ハイνブリープ,EX,196,,,,
6,46,ブルガリアンリズム,EX,204,,,,
6,46,ラッキーハードコア,EX,205,,,,
6,46,地方創生☆チクワクティクス,EX,170,,,,
6,46,徹頭徹尾 Thrive at Perfect Fourth,EX,178,,,,
6,46,撫子メタル,EX,150,,,,
6,45,ドラムステップ,EX,180,,,,
6,45,パペットアンサンブル,EX,89-167,,,,
6,45,フォレストスノウ,EX,70-125,,,,
6,45,メガネロック,EX,190,,,,
6,44,タブランベースREMIX,EX,161,,,,
6,44,フィーバーヒーロー,EX,158-316,,,,
,,,,,,,,
5,48,陣旗プログレッシブ,EX,92-162,,,,
5,47,INFINITY,EX,172,,,,
5,47,Strobe Girl,EX,190,,,,
5,47,あやかしロック,EX,228,,,,
5,47,カイゾク,EX,160,,,,
5,47,コアダストビート,EX,177,,,,
5,47,シンフォニックメタル,EX,185,,,,
5,47,トランスランス,EX,158-180,,,,
5,47,ファンクフィーバー,EX,134,,,,
5,47,フィーバーロボREMIX,EX,163,,,,
5,47,リンセイ,EX,164,,,,
5,47,ルーニックエア,EX,126,,,,
5,47,ロックビリー,EX,274,,,,
5,47,暴レ焔,EX,164,,,,
5,47,煌-灼熱の裁き-,EX,202,,,,
5,46,Habits,EX,162,,,,
5,46,ほしのつくりかた,EX,180,,,,
5,46,アジアンコンチェルトREMIX,EX,160,,,,
5,46,キルト,EX,178,,,,
5,46,グリーニング,EX,146,,,,
5,46,コンテンポラリーネイション3,EX,150,,,,
5,46,シンフォノベーティブロック,EX,120～180,,,,
5,46,ハイコア,EX,190,,,,
5,46,ハッピーサッドコア,EX,188,,,,
5,46,バトルダンス,EX,100-155,,,,
5,46,ワールドツアー2,EX,72-150,,,,
5,46,曼珠沙華,EX,91～182,,,,
5,46,朱と碧のランページ,EX,178,,,,
5,46,浪漫歌謡,EX,158,,,,
5,46,蒼が消えるとき,EX,162,,,,
5,46,黒点,EX,150,,,,
5,45,draw!!!!,EX,157,,,,
5,45,エピックポエトリー,EX,137-165,,,,
5,45,シュピーゲル,EX,157,,,,
5,45,ハイパーファンタジア,EX,165,,,,
5,45,ハンズアップ,EX,149,,,,
5,45,ポップコーンパーティー,EX,240,,,,
5,45,メタリックサーガ,EX,104-150,,,,
5,44,ハイパーJパーティーロック,EX,175,,,,
,,,,,,,,
4,47,お米タル,EX,190,,,,
4,47,アンセムトランスREMIX,EX,140,,,,
4,47,エンシャントユーロ,EX,156,,,,
4,47,ハイパーJポップ3(1/6billionth),EX,145,,,,
4,47,ビジュアル(月光蝶),EX,109-218,,,,
4,47,モンゴル,EX,67-148,,,,
4,47,ヴァルキリーブレイクス,EX,165,,,,
4,47,神曲,EX,140-152,,,,
4,46,HADROS GALE,EX,193,,,,
4,46,ねぶた,EX,140,,,,
4,46,エレジィ,EX,167-210,,,,
4,46,ストライフ,EX,180,,,,
4,46,デスロック,EX,165,,,,
4,46,ピラミッドREMIX,EX,70-225,,,,
4,46,ポータブルポップ,EX,212,,,,
4,46,モンゴルREMIX,EX,110-152,,,,
4,46,ヨーロピアンブレイクコア,EX,100-180,,,,
4,46,乾坤一擲,EX,193,,,,
4,46,千年ノ理,EX,153,,,,
4,46,土木ロック,EX,85-170,,,,
4,46,憂恋☆アクティベーション,EX,150,,,,
4,46,未来派,EX,160,,,,
4,46,禅ジャズ,EX,208-290,,,,
4,45,Struggle,EX,180,,,,
4,45,VERSUS!!,EX,187-280,,,,
4,45,Who done it?!,EX,246,,,,
4,45,ひまわりと散歩道,EX,180-230,,,,
4,45,ガールズロック(BRE∀K DOWN!),EX,190,,,,
4,45,プリティ雅,EX,196,,,,
4,45,モフポップ ポプコネ,EX,187,,,,
4,45,ラブリーくのいちポップ,EX,165,,,,
4,44,ハッピーハードコア(Sakura Sunrise),EX,181,,,,
4,44,レトロスペクティビリー・メリーゴーランド,EX,180,,,,
4,43,キョウゲキ,EX,60-180,,,,
4,43,必殺スパイ,EX,120-153,,,,
,,,,,,,,
3,48,DDR,EX,65-333,,,,
3,48,オイパンク,EX,200,,,,
3,48,クラシック4,H,179,,,,
3,47,ジャパメタ(Craze for You),EX,166-333,,,,
3,47,レーシング,EX,170-300,,,,
3,47,ヴァイオリンプログレッシブ,EX,128,,,,
3,47,地の記 獄編,EX,174,,,,
3,46,J-ロックΦNEW,EX,174,,,,
3,46,SPEED KING ON FIRE,EX,130,,,,
3,46,TOXIC VIBRATION,EX,197,,,,
3,46,エモーショナルデュオ,EX,200,,,,
3,46,オービタリックレボリューション,EX,160,,,,
3,46,ケンドーロック,EX,176,,,,
3,46,ツインヒーロー,EX,162-172,,,,
3,46,ヒップロック4,EX,171,,,,
3,46,フロウビート,EX,184-188,,,,
3,46,ブルームフュージョン,EX,144,,,,
3,46,ラピストリアの約束,EX,186,,,,
3,46,ヴィジュアル4,EX,184,,,,
3,46,一生涯パンク,EX,150-186,,,,
3,46,乙女繚乱 舞い咲き誇れ,EX,210,,,,
3,46,乱れた風紀に天罰を,EX,220?,,,,
3,46,悪魔城ドラキュラSLOT2,EX,135,,,,
3,46,悪魔城ドラキュラSLOT3,EX,174,,,,
3,46,水月鏡花のコノテーション,EX,185,,,,
3,46,流星RAVE REMIX,EX,148,,,,
3,46,蒼い弓箭,EX,164,,,,
3,46,零と弌の鍵の唄,EX,178,,,,
3,46,青春剛速球メタル,EX,180,,,,
3,45,コンビニサーガ,EX,178,,,,
3,45,ジュブナイルロック,EX,197,,,,
3,45,トイコンテンポラリー,H,187,,,,
3,45,ハイパージャパネスク3,EX,85-170,,,,
3,45,ハイパーロッケンローレ,EX,179,,,,
3,45,ハッピーキュートコア,EX,174,,,,
3,45,ファンタジアフュージョン,EX,135,,,,
3,45,フロンティア,EX,142,,,,
3,45,マダーロック,EX,120,,,,
3,45,メカニカルジャズ,EX,170,,,,
3,45,太極拳,EX,85-137,,,,
3,45,年号ロック,EX,156,,,,
3,45,歌劇 月夜のアラビア,EX,158,,,,
3,45,浪速っ子ブギ,EX,186,,,,
3,45,滅亡天使 † にこきゅっぴん,EX,200,,,,
3,44,セツナトリップ,EX,145,,,,
3,44,デジタルロック,EX,250,,,,
3,44,ハイパージャパネスク,EX,171,,,,
3,44,ラウドビーチ,EX,120-180,,,,
3,43,ウィザウチュナイ-クアトロ-,EX,157,,,,
3,42,モッズ,H,170,,,,
3,41,応援歌,EX,140,,,,
,,,,,,,,
2,48,クラシック10,EX,50-200,,,,
2,47,アスレチックブギー,EX,248,,,,
2,47,エンカREMIX,EX,139,,,,
2,47,ターバン,EX,178,,,,
2,47,ドリームゲイザー,EX,174,,,,
2,47,ネジロック,EX,100-170,,,,
2,47,ヒップロック2,EX,156-240,,,,
2,46,あさきの刺激ロック,EX,126,,,,
2,46,ウェルフェア,EX,139,,,,
2,46,エレクトリカルパレード(BAROQUE HOEDOWN),EX,120,,,,
2,46,ケマリ,EX,136,,,,
2,46,サイケデリックトランス,EX,150,,,,
2,46,スカ(Cassandra),EX,68-192,,,,
2,46,スケールアウト,H,100-173,,,,
2,46,デモンズメタル,EX,135-167,,,,
2,46,トライバルポップ,EX,125,,,,
2,46,トランス(Colors),EX,150,,,,
2,46,ハイパーJ－ロック(brave!),EX,180,,,,
2,46,ラウドミクスチャー＆ラガ,EX,182,,,,
2,46,レディースメタル,EX,178,,,,
2,46,ヴイエスサウンド,EX,155,,,,
2,46,一揆,EX,250,,,,
2,46,哀愁ユーロ,EX,156,,,,
2,46,撫子ロック,EX,163,,,,
2,46,黒船ファンク,EX,160,,,,
2,45,KHAMEN BREAK,EX,180,,,,
2,45,On Your Mark,EX,183,,,,
2,45,QuoN,H,168,,,,
2,45,Symsonic Breeze,EX,170,,,,
2,45,インフィニティ,EX,142,,,,
2,45,エレクトリックマヌーシュスウィング,EX,145,,,,
2,45,エレクトロショック,EX,164,,,,
2,45,ガールズロック(☆shining☆),EX,185,,,,
2,45,コンテンポラリーネイション4,EX,100,,,,
2,45,スカーレット,EX,175,,,,
2,45,スノーウィーコア,EX,196,,,,
2,45,スペースワルツ,EX,101-236,,,,
2,45,テクノポップ(321 STARS),EX,192,,,,
2,45,デスボサ,EX,155,,,,
2,45,ファッシネイション,EX,149,,,,
2,45,ファンキーコタ,EX,187,,,,
2,45,フラワーポップREMIX,EX,190,,,,
2,45,フルーフ,EX,70-124,,,,
2,45,ミクスチャー,EX,116,,,,
2,45,メロディックスピード,EX,222?,,,,
2,45,モフロック,EX,170,,,,
2,45,ラフロック,EX,190,,,,
2,45,ロービットサンプリング,EX,180,,,,
2,45,哀愁スカ,EX,176,,,,
2,45,戦場のアップデート,EX,147,,,,
2,45,春風ブローインウィンド,EX,160,,,,
2,44,Baby Sherry,EX,148,,,,
2,44,FMポップ,EX,160,,,,
2,44,Harmonia,EX,177,,,,
2,44,J-ハードダンス,EX,155,,,,
2,44,ウィザウチュナイ-ペンデ-,EX,165,,,,
2,44,エモ,EX,185,,,,
2,44,エレゴスREMIX,EX,173,,,,
2,44,オラトリオ,EX,170,,,,
2,44,ガールズロマンスポップ,EX,188,,,,
2,44,グラヴィオール,H,90-182,,,,
2,44,ケルト,EX,110,,,,
2,44,ジャッジメント,H,185,,,,
2,44,テックトランス,EX,187,,,,
2,44,ハッピーラブゲイザー,EX,188,,,,
2,44,ハードルネッサンス,H,212,,,,
2,44,バトルシンフォニー,EX,175,,,,
2,44,ヒップロックREMIX,EX,142-170,,,,
2,44,ファルシオン,EX,200,,,,
2,44,フォークロック,EX,125-127,,,,
2,44,ホンコンユーロ,EX,150,,,,
2,44,ムラクモ,H,140,,,,
2,44,ムーンコア,EX,185,,,,
2,44,ロマスウィング,EX,140,,,,
2,44,敬老パンク,H,89-356,,,,
2,44,華恋ロック,EX,142,,,,
2,44,華陽炎-Hana Kagerou-,EX,85-195,,,,
2,43,アメポップ,EX,180,,,,
2,43,エモーショナル,EX,150,,,,
2,43,エンジェリオン,H,105-172,,,,
2,43,キャバレー,EX,70,,,,
2,43,キャンディレイヴ(smooooch・∀・),EX,177,,,,
2,43,スターヒーロー,EX,150,,,,
2,43,スプリングテクノ,EX,150,,,,
2,43,チアパラ,EX,142,,,,
2,43,プログレッシブ(V),H,150,,,,
2,43,リトルロック,EX,175,,,,
2,43,ロープレバトル,EX,140-143,,,,
2,43,万葉歌,EX,170,,,,
2,42,トイボックス,EX,70-180,,,,
2,42,ハッピーハードコア(STAR SHIP★HERO),EX,190,,,,
2,42,バブルガムダンス,EX,140,,,,
2,42,ヘイ!ヘイ!Bay ~ボクらの夏にサマー☆ウェイヴ~,EX,50-168,,,,
2,42,ボールヅアウトロック,H,181,,,,
2,42,ラヴリーパラダイスチューン,EX,180,,,,
2,41,じょいふる,EX,159,,,,
2,41,ネガメロック,H,192,,,,
2,41,ハイスピードラブソング,EX,180,,,,
,,,,,,,,
1,47,J-ロック(Romance),EX,206,,,,
1,46,JV-ROCK(洟・月・奇蹟),EX,170,,,,
1,46,アフロパーカッションパーティー,EX,190,,,,
1,46,エージビート,EX,110,,,,
1,46,ジャズ・アリア,EX,144-216,,,,
1,46,スウィングラテ,EX,186,,,,
1,46,スクリーン,H,379,,,,
1,46,パーカッシヴ2,EX,124?,,,,
1,46,メロパンク,EX,120-168,,,,
1,46,ロックギター,EX,144,,,,
1,45,Shock Me,EX,218,,,,
1,45,アリプロ2(暗黒サイケデリック),EX,135,,,,
1,45,エモクトロ,EX,210,,,,
1,45,エレクトロスウィング,EX,105-145,,,,
1,45,エレメンタルジグ,EX,137-205,,,,
1,45,ガールズロックエクストリーム(チカラ),EX,185,,,,
1,45,クリスマスプレゼント,EX,70-180,,,,
1,45,グラディウス,EX,160-220,,,,
1,45,ハイスピード幻想チューン,EX,179,,,,
1,45,ハイテンションギャルロック,EX,210,,,,
1,45,バイオテクノ,EX,211-215,,,,
1,45,ヒートアップ,EX,149,,,,
1,45,プラチナムファンタジア,EX,210,,,,
1,45,ポップン体操,EX,8-200,,,,
1,45,レトロフューチャーREMIX,EX,151-152,,,,
1,45,ロッテルダムテクノ(rottel-da-sun),EX,199,,,,
1,45,桃ヴィジュアル,EX,118,,,,
1,44,KARAKARA,EX,188,,,,
1,44,てくのほそみち,EX,110-220,,,,
1,44,アジアンレイヴ,EX,180,,,,
1,44,アリプロ(愛と誠),EX,140,,,,
1,44,ガバ,EX,185,,,,
1,44,キャンディポップ,EX,180,,,,
1,44,キューティーエレポップ,EX,146,,,,
1,44,クラウンパンク,EX,198,,,,
1,44,コスモドライブ,EX,188,,,,
1,44,スピットロック,EX,150,,,,
1,44,スーパースプラッシュチューン,EX,195,,,,
1,44,ダージュ,H,165-188,,,,
1,44,チキンハート,EX,158,,,,
1,44,チッピンレイヴ,EX,175,,,,
1,44,チョコレートスマイル,EX,196,,,,
1,44,テツドウ,EX,120,,,,
1,44,デスナワ,EX,130-170,,,,
1,44,デスレゲエ,H,102-205,,,,
1,44,トランスユーロREMIX,EX,154,,,,
1,44,ハイパージャパネスク2,EX,160,,,,
1,44,フォールスメルヘン,EX,145-220,,,,
1,44,ホウノウダイコ,EX,145,,,,
1,44,メロコアG,EX,162,,,,
1,43,C18H27NO3,H,210,,,,
1,43,Realize Maze,EX,149,,,,
1,43,うさぬこぬんぬんファンタジー！,EX,160,,,,
1,43,アートコア,H,186,,,,
1,43,ウルトラ90’s,EX,124,,,,
1,43,エピローグ,EX,65-146,,,,
1,43,キネマ2,EX,62-101,,,,
1,43,ジュエリーロック,EX,173,,,,
1,43,ストリートチューン,EX,284,,,,
1,43,デスコラップ,EX,80-160,,,,
1,43,トゥインクルポップ,EX,188,,,,
1,43,ブラッドメタル,H,198,,,,
1,43,幻想系世界修復少女,EX,193,,,,
1,42,Metamorphose,H,201,,,,
1,42,イークリニック,EX,168,,,,
1,42,シンフォニックテクノ,EX,151,,,,
1,42,パティスリーポップ,EX,194,,,,
1,42,パンク(そっと。),EX,290,,,,
1,42,禅ジャズ,H,290,,,,
1,42,運命のパラドックス,EX,190,,,,
1,41,コンテンポラリーネイション2,H,111,,,,
1,39,ガールズオルタナティブコア,H,145-175,,,,
1,38,必殺スパイ,H,120-153,,,,
